date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-19,all,unknown,19,3430,NA,NA,NA,13.14,NA,38.78,53.01,37.13,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-20,all,fully_vaccinated,0,146,1510362,0,NA,1.29,0.09,0,2.24,3.64,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-20,all,partially_vaccinated,1,155,1189685,0.08,NA,1.57,0.13,2.56,2.38,4.15,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-20,all,not_vaccinated,25,2765,6009308,0.42,NA,20.57,0.34,64.1,42.48,56.41,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-20,all,unknown,13,3443,NA,NA,NA,12.86,NA,33.33,52.9,35.8,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-21,all,fully_vaccinated,2,148,1556875,0.13,NA,1.14,0.07,6.67,2.26,3.83,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-21,all,partially_vaccinated,2,157,1200963,0.17,NA,1.29,0.11,6.67,2.4,4,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-21,all,not_vaccinated,12,2777,5951517,0.2,NA,18.14,0.3,40,42.47,54.84,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-21,all,unknown,14,3457,NA,NA,NA,12.14,NA,46.67,52.87,37.33,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-22,all,fully_vaccinated,1,149,1573889,0.06,NA,1.43,0.09,4,2.27,5.01,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
2021-05-22,all,partially_vaccinated,0,157,1215416,0,NA,0.71,0.06,0,2.39,2.72,CHFL,COVID19Hosp,vaccine,limited,2022-02-24_07-53-39
